Name,Telnet,Location,Software
"ANARCHY UNDERGROUND","65.27.8.81:2300","Cincinnati, OH, USA","C-Base"
"ANDROIDS DUNGEON","bbs.androidsdungeon.co.uk","Liverpool, , England","Mystic"
"ANDUIN BBS","bbs.anduin.net","Oslo, , Norway","Synchronet"
"ANIMATION GAME STATION (ANIMEYO)","54.238.90.108","Tokyo, , Japan","Custom"
"ANOTHER DROID BBS","andr01d.zapto.org:9999","Athens, , Greece","Mystic"
"ANOTHER F-ING BBS","anotherbbs.dynu.net:1337","Eloy, AZ, USA","Mystic"
"ANOTHER WILDCAT BBS","104.190.144.121:6400","Midland, MI, USA","Wildcat"
"ANSITEX","115.70.188.112","Parkdale, VIC, Australia","Synchronet"
"ANTI EARTH UNION GOVERNMENT (CHINESE)","125.229.104.182","Taipei, , Taiwan","MapleBBS"
"ANTIDOTE","antidote.triad.se:64128","Bjuv, , Sweden","C-Base"
"ANTIKITERA","technotron.asuscomm.com","Trekgorka, , Russia","Synchronet"
"ANYBOX BBS","anybox.freedyndns.de","Barmstedt, , Germany","Synchronet"
"ARCADIA BBS","bbs.arcadiabbs.com","Putnam, CT, USA","Mystic"
"ARCHAIC BINARY","bbs.archaicbinary.net","Orlando, FL, USA","Custom"
"ARCTICZONE ONLINE ENTERTAINMENT (1)","bbs.arcticzonebbs.net","Clarksville, VA, USA","Worldgroup"
"ARCTICZONE ONLINE ENTERTAINMENT (2)","bbs2.arcticzonebbs.net","Rocky Mount, VA, USA","Worldgroup"
"ARDA-BBS.COM","arda-bbs.com","Delaware, OH, USA","Mystic"
"AREA 52","area52.tk:5200","Phoenix, AZ, USA","BBS Express!"
"ARENA BBS","netasylum.com:2323","Defiance, OH, USA","Mystic"
"ARO2220 TWGS","reerelic.com","Buffalo, NY, USA","TWGS"
"ARTNET","50.116.51.149","Cedar Knolls, NJ, USA","Synchronet"
"ASHLAND INTERNATIONAL MARKET","ashlands.com","Ponoka, AB, Canada","Wildcat"
"AT2K DESIGN BBS","bbs.at2k.org","Clarksville, TN, USA","Virtual Advanced"
"ATAVACHRON BBS","bbs.atavachronbbs.net:22","Newark, NJ, USA","Synchronet"
"ATHELSTAN BBS","athelstan.org","Houston, TX, USA","Synchronet"
"ATLANTIS BBS","75.8.224.32:6401","Atlanta, GA, USA","Image BBS"
"ATMOSPHERE BBS (NTU)","bbs.as.ntu.edu.tw","Taipei, , Taiwan","Custom"
"ATTIC BBS","theattic.v1cd3m1z3r.net","Victoria, BC, Canada","Synchronet"
"AVALON ISLE BBS","atl.ddns.net:6400","Atlanta, GA, USA","Image BBS"
"AVAST! BBS","avastbbs.servegame.com","Adelaide, SA, Australia","Worldgroup"
"AVOGODRO BBS","137.184.181.34:8888","Santa Clara, CA, USA","Enigma 1/2"
"BACK IN TIME","backintime.ddns.net:6510","Hofheim, , Germany","commodore"
"Telnet: bttfbbs.com:22","bttfbbs.com:22","State College, PA, USA","X/84"
"BACKWOOD REALM BBS","bwrbbs.ddns.net","Bedford, IN, USA","Synchronet"
"BAFFA BBS","baffa.zapto.org:2323","Rio de Janeiro, , Brazil","Synchronet"
"BAHAMUT BBS","bbs.gamer.com.tw","Taipei, , Taiwan","MapleBBS"
"Telnet: barbaria.norbus.com:22","barbaria.norbus.com:22","Santa Barbara, CA, USA","Citadel"
"BASEMENT BBS","basementbbs.ddns.net:9000","Portland, OR, USA","BBS Express Pro"
"BASS PLANET","thebassplanet.com:64128","Ewing, NJ, USA","C-Base"
"BAUDVILLE","amis86.ddns.net:9000","Dana Point, CA, USA","Fuji Amis"
"BAYOU BBS","jayctheriot.com:6401","Houma, LA, USA","Image BBS"
"BBS DEVELOPMENT","bbsdev.net","Los Angeles, CA, USA","Synchronet"
"BBS GAMETIME (MAJORBBS)","freespeak.hopto.org:1337","Canonsburg, PA, USA","MajorBBS"
"BBS GAMETIME (MENU)","freespeak.hopto.org","McMurray, PA, USA","Mystic"
"BBS GAMETIME (PCBOARD)","freespeak.hopto.org:233","Canonsburg, PA, USA","PCBoard"
"BBS GAMETIME (SYNCHRONET)","freespeak.hopto.org:23233","Canonsburg, PA, USA","Synchronet"
"BBS OLDCHAT","bbs.oldchat.ru","Mytishchi, , Russian Federation","Custom"
"* BBS ORRELI","bbs.orreli.net:45023","Haugesund, , Norway","Synchronet"
"BBS RETROCAMPUS","bbs.retrocampus.com","London, , England","Petscii BBS"
"BBS TOURNAMENT WORDLE","bbswordle.com","New York City, NY, USA","GameSrv"
"BBS.JASONWALKER.CA","bbs.jasonwalker.ca:2323","Kitchener,, ON, Canada","Mystic"
"BBS.TELEARENA.US","bbs.telearena.us","East Wenatchee, WA, USA","Worldgroup"
"BCG-BOX","bbbs.net","Turku, , Finland","BBBS"
"BCR GAMES SERVER","bcrgames.com:31337","Hollywood, CA, USA","Wildcat"
"BEAR'S DEN","bbs.bearfather.net","Portland, OR, USA","Worldgroup"
"BECKINSDALE","76.213.177.217","Painesville, OH, USA","Synchronet"
"BECOME BANANAS BBS","bbbbs.synchronetbbs.org","Richardson, TX, USA","Synchronet"
"BEEBS II","beebs.ddns.net:6502","Worcestershire, , England","BeeBS"
"BEER-ISAC BBS","31.220.63.185:2323","Greeneville, SC, USA","WWIV"
"BEIYOU FORUM","bbs.byr.cn","Bejing, , China","Custom"
"BIG RABBIT BBS","bunnybbs.tw","Tokyo, , Japan","Custom"
"BIG TIME BBS","bigtimebbs.net:2323","Huddersfield, West Yorkshire, England","Mystic"
"BIG5 BBS","39.106.161.147","Beijing, , China","MapleBBS"
"BIKER BOB'S CLUBHOUSE","bbsclubhouse.ddns.net:1040","Mississauga, ON, Canada","FoReM ST"
"BIRDENUF BBS","bbs.birdenuf.com:2003","Ashburn, VA, USA","MajorBBS"
"BITPUNK BBS","bbs.bitpunk.fm:8888","North Bergen, NJ, USA","Enigma 1/2"
"BITS & BYTES BBS","bbs.bnbbbs.net:2023","Groton, CT, USA","ProBoard"
"BITWOODS RBBS-PC","bitwoods.duckdns.org","Helsinki, , Finland","RBBS"
"BLACK FLAG BBS","blackflag.acid.org","Hudson, FL, USA","Mystic"
"BLACK SHEEP SQUADRON","104.190.144.121:6401","Saginaw, MI, USA","Image BBS"
"BLACK TOWER BBS","blackflag.acid.org:26","Hudson, FL, USA","Mystic"
"BLACKICE","88.153.40.209","Duesseldorf, , Germany","Mystic"
"BLACKLIGHT UNDERGROUND","acentauribbs.no-ip.org:2424","West Barnstable, MA, USA","Synchronet"
"BLACKSTAR BBS","blackstar-bbs.servegame.com","Anderson, IN, USA","Wildcat"
"BLOOD STONE","wwiv.bsbbs.com:2323","Rohnert Park, CA, USA","WWIV"
"BLOOD STORM","bstorm.synchro.net","Montreal, QC, Canada","Synchronet"
"BLOODBBS","blood.bbsn.us:2323","Livingston, TX, USA","Mystic"
"BLUE WAVE BBS","110.232.113.108","Hawkesbury, NSW, Australia","Synchronet"
"BOAR'S HEAD TAVERN","byob.hopto.org:64128","Taasinge, passed Tannhäuser Gate, Denmark","C-Base"
"BODAX BBS","bbs.beardy.se","Tierp, , Sweden","Enigma 1/2"
"BOEBERTFEET","66.228.38.176:52270","Cedar Knolls, NJ, USA","Mystic"
"BOOBTUBE","bbs.wz5bbs.com","Austin, TX, USA","Synchronet"
"BOOKS CHESS SERVER","books.internetking.us:5000","Kent, WA, USA","Custom"
"BOOT FACTORY 2K+","bfbbs.no-ip.com:8888","Mechanicsville, VA, USA","Atari"
"BORDERLINE BBS","borderlinebbs.dyndns.org:6400","Hemet, CA, USA","All American"
"BOTTOMLESS ABYSS BBS","bbs.bottomlessabyss.net:2023","Quebec City, QC, Canada","Mystic"
"Telnet: bsbbs@bsbbs.com.br:22","bsbbs@bsbbs.com.br:22","Recife, , Brazil","EleBBS"
"BRAINTOYS BBS","braintoys.org","Los Angeles, CA, USA","Worldgroup"
"BRAZI.NET","brazi.net","Jackson, TN, USA","Synchronet"
"BRETT BENDER BBS","207.90.251.241:2323","Williston, VT, USA","Mystic"
"BREWERY BBS","thebrewery.servebeer.com:6400","Shelburne, NS, Canada","GBBS Pro"
"BRIAN'S BLOG TWGS","tw2002.briancmoses.com","San Antonio, TX, USA","TWGS"
"BRIGANDINE","brigandine.org:9390","Salt Lake City, UT, USA","Custom"
"BROKEDOWN PALACE BBS","palace.brokedownpalace.online:2323","Kitchener, ON, Canada","WWIV"
"BROKEN BUBBLE","bbs.thebrokenbubble.com","Beacon Falls, CT, USA","Synchronet"
"BUMGUN CLUB BBS","bumgun.club","Amsterdam, , The Netherlands","Synchronet"
"BUNKER 3","75.240.27.141:8888","Greenville, OH, USA","Mystic"
"BUTTERFLY BBS","211.68.71.66","Beijing, , China","Custom"
"BYTE ME BBS","chat.hohimer.org:2323","Russellville, KY, USA","Renegade"
"BYTEBARN BBS","bbs.bytebarn.de:2300","Sernow, , Germany","Mystic"
"BYTEXCHANGE BBS","bbs.thebytexchange.com","Dallas, TX, USA","Mystic"
"C3BBS","c3bbs.retronetworking.org","Berlin, , Germany","Synchronet"
"C64 PUB","bbs.c64.pub","Guntersville, AL, USA","Synchronet"
"CABANA BAR BBS","bbs.cabanabar.net:11123","Glastonbury, CT, USA","Mystic"
"CABIN BBS, THE","thecabinbbs.com:6400","Norwalk, CT, USA","Color 64"
"CAMELOT BBS","camelotb.synchro.net","Milton, WV, USA","Synchronet"
"CANERDUH BBS","bbs.canerduh.com:23905","Medicine Hat, AB, Canada","Mystic"
"CAPITAL STATION BBS","csbbs.dyndns.org","Schodack, NY, USA","Mystic"
"CAPITOL CITY ONLINE BBS","capitolcityonline.net","Frankfort, KY, USA","Synchronet"
"CAPITOL SHRILL BBS","capitolshrill.com","Arlington, VA, USA","Synchronet"
"CAPTAIN'S QUARTERS BBS II","cqbbs.ddns.net:6800","Waconia, MN, USA","Mystic"
"CASTLE BBS","47.46.52.130","Holland, MI, USA","Worldgroup"
"CASTLE ROCK BBS","cedarvalleybbs.com:2424","Marion, IA, USA","Worldgroup"
"CATPIT BBS","bbs.cis92.net","Heiwajima, , Japan","MapleBBS"
"CATSWEAT TWGS","24.88.72.99","Hardeeville, SC, USA","TWGS"
"CAVE BBS","cavebbs.homeip.net","Raleigh, NC, USA","Synchronet"
"CBAXYZ TWGS","tdod.org:2002","Denver, CO, USA","TWGS"
"CBBS/TN","cbbs.mitsaltair.com:8800","Chattanooga, TN, USA","CBBS"
"CCUW BBS","rtc.to","Rotkreuz, , Switzerland","Mystic"
"CCX BBS","bbs.ccxbbs.net","Galt, CA, USA","MajorBBS"
"CEDARVALLEY BBS","cedarvalleybbs.com:2525","Marion, IA, USA","Worldgroup"
"CEDARVALLEY BBS 2","cedarvalleybbs.com:2626","Cedar Rapids, IA, USA","MajorBBS"
"CELLAR BBS","thecell.ar:1040","Antwerp, , Belgium","Michtron"
"CEMENT CITY","scenewall.bbs.io:4000","Ashburn, VA, USA","AmiExpress"
"CENSORSHIP BBS","blog.zenithrifle.cfd:8888","Brisbane, QLD, Australia","Enigma 1/2"
"CENTRAL ONTARIO REMOTE (MYSTIC)","centralontarioremote.net","Trent Hills, ON, Canada","Mystic"
"CENTRAL ONTARIO REMOTE (TWGS)","centralontarioremote.net:2002","Trent Hills, ON, Canada","TWGS"
"CENTRONIAN BBS","bbs.centronian.ca:6400","Montreal, QC, Canada","Magnetar BBS"
"CHEEZ DADDY'S HOUSE OF FUNK","atari8.us:10001","Asheville, NC, USA","Carina II"
"CHOICE CORE BBS (1ST)","1stchoicecore.co.nz","Ashburton, , New Zealand","Synchronet"
"CHOICE CORE BBS (2ND)","2ndchoicecore.nz:1024","Ashburton, , New Zealand","Mystic"
"CHOOKFEST BBS","bbs.chookfest.net:6800","Melbourne, VIC, Australia","Synchronet"
"CHRIS BBS","5.231.180.215","Ransbach-Baumbach, , Germany","Mystic"
"CHRISTIAN FELLOWSHIP","cfbbs.no-ip.com:26","Mt. Ephriam, NJ, USA","PCBoard"
"CHROME 30 BBS","3.136.234.155","Columbus, OH, USA","Mystic"
"CHRYSALIS ONLINE SERVICES TBBS BBS","chrysalisbbs.org:8888","Dallas, TX, USA","TBBS"
"CIA AMIGA BBS","ciaamiga.org:6400","Mayflower, AR, USA","Zeus"
"* CIRCL'S BBS","bbs.circl.lu","Luxembourg, , Luxembourg","Synchronet"
"CITADEL 64 BBS","citadel64.thejlab.com:6400","Oakdale, California, USA","Color 64"
"CITTADELLA BBS","bbs.cittadellabbs.it:4001","Milano, , Italy","Cittadella/UX"
"CITY ON THE EDGE OF FOREVER","interzone.annexia.xyz:2002","Ottawa, ON, Canada","TWGS"
"CJ'S PLACE","cjsplace.thruhere.net","Orange City, FL, USA","Synchronet"
"CLACKER WORKS","cw.qc.to:9000","Winnipeg, MB, Canada","Custom"
"CLASSIC BBS","board.classicbbs.net:9339","Birmingham, AL, USA","Mystic"
"CLASSIC COMPUTING BBS","bbs.classiccomputing.net","New Westminster, BC, Canada","Mystic"
"CLASSIC MACS BBS","macos.retro-os.live","Fremont, CA, USA","Synchronet"
"CLOVER BBS","51.89.167.62","Bexley, , England","Mystic"
"CLOVER LOVE (CHINESE)","segaa.net","London, , England","MapleBBS"
"CLUBE DA INSONIA BBS","bbs.conf.eti.br","Rio de Janeiro, , Brazil","Synchronet"
"CLUTCH","clutchbbs.com","Windsor, ON, Canada","Mystic"
"COAL MINE BBS","84.104.78.157","Zoetermeer, , The Netherlands","ArmBBS"
"CODE RED BBS","coderedmud.servegame.com:2323","Vancouver, WA, USA","Worldgroup"
"COLD FUSION BBS","cfbbs.net","Grand Rapids, MI, USA","Mystic"
"COLD WINTER KNIGHTS","bbs.coldwinterknights.net:8888","Sacramento, CA, USA","Custom"
"COLORADO SPRINGS CENTRAL NET TWGS","cscnet1.net:2002","Maryville, TN, USA","TWGS"
"COLORADO SPRINGS NETWORK","cscnet1.net","Knoxville, TN, USA","Wildcat"
"COLOSSUS BBS","bbs.qzwx.com","Centreville, VA, USA","WWIV"
"COMMANDER CENTRAL","45.10.160.94","Stein, , Germany","Synchronet"
"COMMODORE 4EVER BBS","c4everbbs.ddnsgeek.com:20098","Saluda, SC, USA","Color 64"
"COMMODORE IMAGE","cib.dyndns.org:6400","Lakeland, FL, USA","Image BBS"
"COMMODORE IMAGE II","cib.dyndns.org:6401","Lakeland, FL, USA","Image BBS"
"COMMODORE IMAGE III","cib.dyndns.org:6402","Lakeland, FL, USA","Image BBS"
"COMMS NUTS BBS","203.38.121.134:2323","Hobart, TAS, Australia","Mystic"
"COMPUTER EXPRESS","cebbs.costakis.org","Anoka, MN, USA","Synchronet"
"COMPUTER GOD","cpugod.synchro.net","Grantsville, UT, USA","Synchronet"
"CONCRETE ROOTS","concreteroots.servebbs.org","Oslo, , Norway","AmiExpress"
"CONSTRUCTIVE CHAOS BBS","conchaos.synchro.net","Canton, OH, USA","Synchronet"
"CONSTRUCTIVE CHAOS TWGS","conchaos.synchro.net:2002","North Canton, OH, USA","TWGS"
"CONVOLUTION","convolution.us","Bethlehem, PA, USA","Synchronet"
"COOL BLUE TWGS","76.147.103.179:2002","Graham, WA, USA","TWGS"
"COOL DAVID","bbs.cooldavid.org","Taipei, , Taiwan","Custom"
"COTTONWOOD BBS","cottonwoodbbs.dyndns.org:6502","Hemet, CA, USA","Color 64"
"CRACK IN TIME BBS","crackintimebbs.ddns.net:2323","Ridgewood, NJ, USA","Synchronet"
"CRACKHOUSE","217.180.203.58","Lexington, KY, USA","Synchronet"
"CRAPPIE CRACKER ONLINE BBS","67.190.218.57:2323","Crescent City, FL, USA","Wildcat"
"CRAZY ERIC'S BBS","bbs.crazyerics.com","Everett, WA, USA","Synchronet"
"CRAZY PARADISE","cpbbs.de:2323","Berlin, , Germany","commodore"
"CRUSTY CHICKEN TWGS","69.4.62.151","Ingram, TX, USA","TWGS"
"CRYPT BBS (2)","thecrypt.synchronetbbs.org:513","Miami, FL, USA","Synchronet"
"CRYSTAL PALACE","cptalker.com:9900","Chicago, IL, USA","Custom"
"CYBER SWORD","bbs.excalibursheath.com","Santa Clara, CA, USA","Mystic"
"CYBERIA BBS","sysgod.org:23000","Sydney, NSW, Australia","EleBBS"
"CYBERSPACE BBS (SYNCHRONET)","cyberspacebbs.net","Fridley, MN, USA","Synchronet"
"CYBERSPACE BBS (WORLDGROUP)","cyberspacebbs.net:2323","Fridley, MN, USA","Worldgroup"
"D0P3 BBS","bbs.intersrv.net","Melborne, VIC, Australia","Synchronet"
"DANGER BAY BBS","dangerbaybbs.dyndns.org:1337","Vancouver, BC, Canada","PCBoard"
"DANK DOMAIN","play.ddgame.us","Providence, RI, USA","Mystic"
"DARK ENDLESS","darkendlessbbs.hopto.org:6510","Philadelphia, PA, USA","C-Base"
"DARK GAME BBS","darkgame.buanzo.org","Buenos Aires, , Argentina","Mystic"
"DARK REALMS","bbs.darkrealms.ca","Toronto, ON, Canada","Renegade"
"DARK SYSTEMS BBS","bbs.dsbbs.ca","Peterborough, Ontario, Canada","RemoteAccess"
"DARK WASTELANDS","darkwastelands.com:8888","Denver, CO, USA","Synchronet"
"* DARKAGES BBS","serverme.net","Konawa, OK, USA","Synchronet"
"DARKFORCE! BBS, THE","darkforce-bbs.dyndns.org:1040","Prestonsburg, KY, USA","BBS Express! ST"
"DARKLEVEL","darklevel.hopto.org:64128","near Frankfurt, Hesse, Germany","CBase"
"DARKMATTER'S TWGS","twgs.geekm0nkey.com","Murfreesboro, TN, USA","TWGS"
"DARKWOOD BBS","darkwood.ddns.net","Chicago, IL, USA","Worldgroup"
"DATOTAL","datotal.net:35723","Berlin, , Germany","Synchronet"
"DAVE'S BBS","143.223.235.160","Verbena, AL, USA","Mystic"
"DAWN OF DEMISE (MAJORBBS)","tdod.org:3000","Denver, CO, USA","MajorBBS"
"DAWN OF DEMISE (SYNCHRONET)","tdod.org:5000","Boulder, CO, USA","Synchronet"
"DAWN OF DEMISE (WORLDGROUP)","tdod.org","Denver, CO, USA","Worldgroup"
"DEAD CARRIER BBS","the-rotten-core.strangled.net:2323","Bremen, , Germany","Synchronet"
"DEAD INTERNET SOCIETY","deadinternet.synchronetbbs.org","Toronto, ON, Canada","Synchronet"
"DEAD ZONE BBS","dzbbs.hopto.org:64128","Philadelphia, PA, USA","commodore"
"DEADBEATZ BBS","deadbeatz.org","Albuquerque, NM, USA","Mystic"
"DEATH ROW BBS","deathrow.servebbs.org:1001","Ogden, UT, USA","AmiExpress"
"DEEPSKIES BBS","bbs.deepskies.com:6400","Toronto, ON, Canada","VIC-BBS"
"DEFILE BBS","50.110.169.17","Martinsburg, WV, USA","Renegade"
"DELTA CITY BBS","deltacity.se","Stockholm, SE, Sweden","NiKom"
"DEMIGOTH BBS","bbs.demigoth.com","Seattle, WA, USA","Mystic"
"DEMONSNET BBS","demonsnet.com","Vancouver, BC, Canada","Worldgroup"
"DESERT RATS SANCTUARY TWGS","bbs.kn6q.org:2002","Azle, TX, USA","TWGS"
"DHXY","dhxy.info","Singapore, , Singapore","Custom"
"DIAMOND MINE ONLINE (SYNCHRONET)","bbs.dmine.net:24","Fredericksburg, VA, USA","Synchronet"
"DIAMOND MINE ONLINE (WWIV)","bbs.dmine.net:2323","Fredericksburg, VA, USA","WWIV"
"DIGICOM BBS","bbs.digicombbs.com:2323","Evansville, IN, USA","Mystic"
"DIGITAL DIAL BBS","digitaldial.homeunix.com:2300","Boynton Beach, FL, USA","Custom"
"DIGITAL DISTORTION","bbs.digitaldistortionbbs.com","Beaverton, OR, USA","Synchronet"
"DIGITAL LETHARGIA BBS","www.diglet.ca","Toronto, ON, Canada","Synchronet"
"DIGITAL POST","thedigitalpost.freeddns.org","Smyrna, DE, USA","Mystic"
"DIGITAL RAINBOW","bbs.digitalrainbow.info","Sydney, NSW, Australia","Synchronet"
"DIGITAL ZONE","5.150.245.20:2323","Hassleholm, , Sweden","Custom"
"DIME BBS","alcoholidaybbs.com:94","Columbia, SC, USA","WWIV"
"DISCONNECTED BY PEER BBS","bbs.disconnected-by-peer.at","Vienna, , Austria","Mystic"
"DISKBOX ][","tag.diskbox2.net","Caledonia, MI, USA","TAG"
"DISKHOPPERS PALACE BBS","diskhopp.synchro.net","Stuart, FL, USA","Synchronet"
"DISTORTION","d1st.org","Seattle, WA, USA","Mystic"
"DJ DAVE BBS","djdave.uk:8088","Ipswich, , England","Mystic"
"DJ'S PLACE","bbs.impakt.net:6502","Plano, TX, USA","GBBS Pro"
"DLWX BBS","107.175.69.10:60023","Buffalo, NY, USA","Synchronet"
"DNIPROWAVE BBS","bbs.net.ua","Dnipro, , Ukraine","Synchronet"
"DOCK SUD","bbs.docksud.com.ar","Buenos Aires, , Argentina","Synchronet"
"DOGTOWN BBS","bbs.kiwi.net","Los Angeles, CA, USA","Mystic"
"DONGHUA UNIV. ORIENTAL TOWN","bbs.ndhu.edu.tw","Taipei, , Taiwan","MapleBBS"
"DOOR GAMES UNLIMITED","dgu.strangled.net","Zephyrhills, FL, USA","Synchronet"
"DOVE ONLY","casper.homeip.net","Brisbane, QLD, Australia","Synchronet"
"DOWNUNDER BBS","202.90.240.159","Adelaide, SA, Australia","Worldgroup"
"DRAGON WORLD BBS","dwbbs.ddns.net","Boca Raton, FL, USA","MajorBBS"
"DRAKEFIRE BBS","bbs.drakefire.com","Dallas, TX, USA","Mystic"
"DREAM GARDEN","cd.csie.io","Tokyo, , Japan","MapleBBS"
"DREAM LAND BBS","ccns.cc:3456","Taipei, , Taiwan","DreamBBS"
"DREAMER'S PLACE","dreamers.place","Nederland, TX, USA","Synchronet"
